,시군별,연도,출생아수
0,천안시,2016,6021
1,아산시,2016,3441
2,당진시,2016,1717
3,서산시,2016,1564
4,논산시,2016,713
5,홍성군,2016,691
6,보령시,2016,627
7,공주시,2016,547
8,계룡시,2016,371
9,태안군,2016,352
10,예산군,2016,316
11,부여군,2016,292
12,금산군,2016,289
13,서천군,2016,226
14,청양군,2016,135
15,천안시,2017,5439
16,아산시,2017,3031
17,당진시,2017,1585
18,서산시,2017,1396
19,논산시,2017,659
20,홍성군,2017,698
21,보령시,2017,539
22,공주시,2017,569
23,계룡시,2017,334
24,태안군,2017,272
25,예산군,2017,318
26,부여군,2017,262
27,금산군,2017,233
28,서천군,2017,214
29,청양군,2017,121
30,천안시,2018,5213
31,아산시,2018,2693
32,당진시,2018,1380
33,서산시,2018,1341
34,논산시,2018,629
35,홍성군,2018,627
36,보령시,2018,455
37,공주시,2018,513
38,계룡시,2018,269
39,태안군,2018,268
40,예산군,2018,256
41,부여군,2018,210
42,금산군,2018,211
43,서천군,2018,205
44,청양군,2018,110
45,천안시,2019,4834
46,아산시,2019,2362
47,당진시,2019,1247
48,서산시,2019,1193
49,논산시,2019,607
50,홍성군,2019,574
51,보령시,2019,461
52,공주시,2019,548
53,계룡시,2019,223
54,태안군,2019,217
55,예산군,2019,296
56,부여군,2019,186
57,금산군,2019,207
58,서천군,2019,169
59,청양군,2019,104
60,천안시,2020,4646
61,아산시,2020,1969
62,당진시,2020,1058
63,서산시,2020,1106
64,논산시,2020,488
65,홍성군,2020,560
66,보령시,2020,407
67,공주시,2020,454
68,계룡시,2020,183
69,태안군,2020,218
70,예산군,2020,247
71,부여군,2020,167
72,금산군,2020,185
73,서천군,2020,170
74,청양군,2020,92
75,천안시,2021,4409
76,아산시,2021,1810
77,당진시,2021,953
78,서산시,2021,1031
79,논산시,2021,454
80,홍성군,2021,508
81,보령시,2021,368
82,공주시,2021,373
83,계룡시,2021,169
84,태안군,2021,175
85,예산군,2021,206
86,부여군,2021,129
87,금산군,2021,149
88,서천군,2021,160
89,청양군,2021,90
